
                    V                          LATITUDE     LONGITUDE   OBSTACLE             AGL  AMSL  LT ACC MAR  FAA
ACTION    OAS#      S CT ST CITY             DEG MIN SEC  DEG MIN SEC   TYPE                  HT    HT     H V IND STUDY          JDATE
----------------------------------------------------------------------------------------------------------------------------------------
DISMANTLE 01-000059 O US AL BIRMINGHAM       33 32 14.00N 086 50 16.00W TOWER              1 00284 00827 U 9 I M                D2025263 
OLD       01-020086 O US AL WEDOWEE          33 23 58.40N 085 30 17.00W TOWER              1 00310 01263 D 2 C N 2008ASO05424OE C2009032 
NEW       01-020086 O US AL WEDOWEE          33 23 58.40N 085 30 17.00W TOWER              1 00310 01263 D 2 C N 2025ASO14853OE C2025296 
OLD       01-020094 O US AL TALLASSEE        32 39 22.00N 085 47 58.00W TOWER              1 00310 00942 D 5 E N 2008ASO04541OE C2012107 
NEW       01-020094 O US AL TALLASSEE        32 39 22.00N 085 47 58.00W TOWER              1 00306 00942 D 4 D N 2025ASO13259OE C2025296 
OLD       01-020106 O US AL HEFLIN           33 40 46.80N 085 32 34.60W TOWER              1 00306 01281 D 5 E N 2007ASO05226OE C2009032 
NEW       01-020106 O US AL HEFLIN           33 40 46.80N 085 32 34.60W TOWER              1 00306 01281 D 4 D N 2024ASO24811OE C2025263 
OLD       01-020107 O US AL CENTRE           34 05 43.20N 085 30 25.90W TOWER              1 00310 00989 D 5 E N 2008ASO04599OE C2009032 
NEW       01-020107 O US AL CENTRE           34 05 43.20N 085 30 25.90W TOWER              1 00310 00989 D 4 D N 2025ASO16215OE C2025290 
OLD       01-020110 O US AL GALLION          32 26 05.97N 087 47 08.67W TOWER              1 00306 00592 D 5 D N 2008ASO06674OE C2009039 
NEW       01-020110 O US AL GALLION          32 26 05.97N 087 47 08.67W TOWER              1 00306 00592 D 4 D N 2024ASO23573OE C2025263 
OLD       01-020122 O US AL PIEDMONT         33 58 13.10N 085 27 32.30W TOWER              1 00310 01456 D 5 E N 2008ASO04638OE C2009149 
NEW       01-020122 O US AL PIEDMONT         33 58 13.10N 085 27 32.30W TOWER              1 00307 01453 D 4 D N 2025ASO07458OE C2025264 
OLD       01-020127 O US AL LINEVILLE        33 18 41.00N 085 35 38.20W TOWER              1 00310 01207 D 2 C N 2008ASO05426OE C2009149 
NEW       01-020127 O US AL LINEVILLE        33 18 41.00N 085 35 38.20W TOWER              1 00306 01203 D 2 C N 2025ASO11127OE C2025263 
OLD       01-020219 U US AL CALVERT          31 09 42.54N 087 59 08.82W BLDG               1 00208 00255 D 4 D N 2009ASO02065OE C2014124 
NEW       01-020219 O US AL CALVERT          31 09 44.03N 087 59 01.13W STACK              1 00208 00289 N 4 D N 2024ASO22545OE C2025263 
OLD       01-020363 O US AL CULLMAN          34 10 33.61N 086 41 45.00W TOWER              1 00310 01059 D 1 A N 2010ASO04409OE A2011186 
NEW       01-020363 O US AL CULLMAN          34 10 33.61N 086 41 45.00W TOWER              1 00310 01059 D 1 A N 2024ASO22472OE C2025263 
OLD       01-020394 O US AL NEW BROCKTON     31 24 52.61N 085 53 21.15W TOWER              1 00260 00669 D 1 A N 2010ASO06831OE A2011207 
NEW       01-020394 O US AL NEW BROCKTON     31 24 52.61N 085 53 21.15W TOWER              1 00259 00668 D 1 A N 2024ASO23636OE C2025262 
OLD       01-020415 O US AL SEMAN            32 43 38.30N 086 07 24.81W TOWER              1 00363 01071 D 5 E N 2013ASO06600OE C2013324 
NEW       01-020415 O US AL SEMAN            32 43 38.30N 086 07 24.81W TOWER              1 00363 01071 D 4 D N 2013ASO06600OE C2025260 
OLD       01-020417 O US AL BLOUTSVILLE      34 05 48.04N 086 33 02.92W TOWER              1 00310 01338 D 1 A N 2011ASO00510OE A2011229 
NEW       01-020417 O US AL BLOUNTSVILLE     34 05 48.04N 086 33 02.92W TOWER              1 00309 01337 D 1 A N 2024ASO22470OE C2025263 
OLD       01-021887 O US AL PISGAH           34 35 40.23N 085 47 01.87W TOWER              1 00260 01683 D 1 A N 2012ASO02120OE A2013240 
NEW       01-021887 O US AL HENAGAR          34 35 40.23N 085 47 01.87W TOWER              1 00257 01680 D 1 A N 2024ASO21474OE C2025263 
OLD       01-021924 O US AL ATMORE           31 05 32.59N 087 32 23.87W TOWER              1 00425 00723 D 2 C N 2013ASO02949OE A2014031 
NEW       01-021924 O US AL ATMORE           31 05 32.59N 087 32 23.87W TOWER              1 00425 00723 D 2 C N 2024ASO25130OE C2025263 
OLD       01-021965 O US AL HUNTSVILLE       34 43 25.89N 086 39 37.31W TOWER              1 00165 00843 N 5 D N 2007ASO04965OE A2014143 
NEW       01-021965 O US AL HUNTSVILLE       34 43 25.89N 086 39 37.31W TOWER              1 00173 00851 N 4 D N 2025ASO10146OE C2025262 
OLD       01-022005 O US AL DECATUR          34 33 30.50N 086 54 28.80W TOWER              1 00280 00870 M 1 A N 2013ASO06467OE A2014261 
NEW       01-022005 O US AL DECATUR          34 33 30.50N 086 54 28.80W TOWER              1 00280 00870 M 1 A N 2025ASO06109OE C2025263 
OLD       01-022010 O US AL KENNEDY          33 33 26.54N 087 59 07.17W TOWER              1 00310 00810 D 1 A N 2013ASO08891OE A2014268 
NEW       01-022010 O US AL KENNEDY          33 33 26.54N 087 59 07.17W TOWER              1 00306 00805 D 1 A N 2024ASO10691OE C2025297 
OLD       01-022021 O US AL CITRONELLE       30 59 21.70N 088 19 28.50W TOWER              1 00251 00513 D 1 A N 2014ASO00007OE A2014345 
NEW       01-022021 O US AL CHUNCHULA        30 59 21.70N 088 19 28.50W TOWER              1 00251 00512 D 1 A N 2024ASO24928OE C2025263 
OLD       01-022402 O US AL RAINSVILLE       34 30 14.15N 085 51 19.04W TOWER              1 00260 01546 D 1 A N 2015ASO15633OE A2016140 
NEW       01-022402 O US AL RAINSVILLE       34 30 14.15N 085 51 19.04W TOWER              1 00260 01546 D 1 A N 2025ASO02979OE C2025263 
OLD       01-022501 O US AL TUSKEGEE         32 24 26.63N 085 43 17.68W TOWER              1 00256 00631 D 1 A N 2015ASO15617OE A2017045 
NEW       01-022501 O US AL TUSKEGEE         32 24 26.63N 085 43 17.68W TOWER              1 00256 00631 D 1 A N 2025ASO02945OE C2025263 
OLD       01-046353 U US AL RUSSELLVILLE     34 25 48.90N 087 40 33.98W TOWER              1 00134 01172 N 4 D N 2010ASO03700OE A2017306 
NEW       01-046353 O US AL RUSSELLVILLE     34 25 48.90N 087 40 33.98W TOWER              1 00199 01237 N 1 A N 2025ASO00205OE C2025263 
OLD       01-047177 U US AL TANNER           34 39 38.80N 086 57 48.10W ANTENNA            1 00151 00718 N 4 D N 2013ASO00319OE A2018023 
NEW       01-047177 U US AL TANNER           34 39 38.80N 086 57 48.10W TOWER              1 00148 00715 N 4 D N 2025ASO10352OE C2025263 
OLD       01-047774 U US AL FOLEY            30 23 52.76N 087 41 56.01W POLE               1 00140 00213 N 1 A N 2013ASO10522OE A2018027 
NEW       01-047774 O US AL FOLEY            30 23 52.76N 087 41 56.01W TOWER              1 00140 00212 N 1 A N 2013ASO10522OE C2025297 
ADD       01-049364 O US AL GULF SHORES      30 17 41.70N 087 40 33.90W BLDG               1 00030 00053 N 2 C N                A2025264 
ADD       01-049367 O US AL GULF SHORES      30 16 53.70N 087 40 33.50W SHIP               1 00035 00035 N 4 D N                A2025264 
OLD       01-051894 O US AL CLIO             31 38 49.14N 085 31 18.64W TOWER              1 00259 00662 D 1 A N 2017ASO12504OE A2018260 
NEW       01-051894 O US AL CLIO             31 38 49.14N 085 31 18.64W TOWER              1 00262 00665 D 1 A N 2025ASO11562OE C2025281 
OLD       01-054651 O US AL HATCHECHUBBEE    32 16 42.85N 085 16 45.71W TOWER              1 00352 00709 D 1 A N 2018ASO04493OE A2018313 
NEW       01-054651 O US AL HATCHECHUBBEE    32 16 42.85N 085 16 45.71W TOWER              1 00348 00705 D 1 A N 2025ASO10139OE C2025263 
OLD       01-054772 O US AL PRATTVILLE       32 32 51.86N 086 32 41.15W TOWER              1 00260 00761 D 1 A N 2017ASO20047OE A2019028 
NEW       01-054772 O US AL PRATTVILLE       32 32 51.86N 086 32 41.15W TOWER              1 00260 00761 D 1 A N 2024ASO25115OE C2025263 
OLD       01-054778 O US AL CLANTON          32 45 15.64N 086 42 59.80W TOWER              1 00280 00887 D 1 A N 2017ASO22443OE A2019065 
NEW       01-054778 O US AL CLANTON          32 45 15.64N 086 42 59.80W TOWER              1 00280 00887 D 1 A N 2024ASO25339OE C2025263 
OLD       01-054896 O US AL JONES            32 37 02.25N 086 48 50.58W TOWER              1 00310 00858 D 1 A N 2017ASO17439OE A2019143 
NEW       01-054896 O US AL JONES            32 37 02.25N 086 48 50.58W TOWER              1 00310 00858 M 1 A N 2025ASO15199OE C2025297 
OLD       01-057687 O US AL KELLYTON         33 01 37.11N 085 58 00.79W TOWER              1 00310 00977 D 1 A N 2017ASO04224OE A2019193 
NEW       01-057687 O US AL KELLYTON         33 01 37.11N 085 58 00.79W TOWER              1 00310 00977 D 1 A N 2025ASO15675OE C2025297 
OLD       01-057788 O US AL ONEONTA          33 52 57.17N 086 31 34.88W TOWER              1 00256 00995 D 1 A N 2019ASO15321OE A2019283 
NEW       01-057788 O US AL ONEONTA          33 52 57.17N 086 31 34.88W TOWER              1 00256 00995 D 1 A N 2025ASO14424OE C2025290 
OLD       01-057835 O US AL LUVERNE          31 42 49.55N 086 15 43.33W TOWER              1 00195 00534 N 4 D N 2018ASO09207OE A2019308 
NEW       01-057835 O US AL LUVERNE          31 42 49.55N 086 15 43.33W TOWER              1 00195 00534 N 1 A N 2025ASO02276OE C2025263 
OLD       01-057897 O US AL RIVER FALLS      31 20 58.15N 086 32 38.69W TOWER              1 00265 00510 D 1 A N 2019ASO01661OE A2020049 
NEW       01-057897 O US AL RIVER FALLS      31 20 58.15N 086 32 38.69W TOWER              1 00265 00510 D 1 A N 2025ASO15204OE C2025297 
OLD       01-057909 O US AL BRUNDIDGE        31 38 55.42N 085 48 35.76W TOWER              1 00265 00743 D 1 A N 2019ASO15740OE A2020042 
NEW       01-057909 O US AL BRUNDIDGE        31 38 55.42N 085 48 35.76W TOWER              1 00265 00743 D 1 A N 2025ASO03605OE C2025263 
OLD       01-057924 O US AL MCKENZIE         31 30 12.83N 086 40 19.52W TOWER              1 00265 00581 D 1 A N 2018ASO25814OE A2020056 
NEW       01-057924 O US AL MCKENZIE         31 30 12.83N 086 40 19.52W TOWER              1 00265 00581 D 1 A N 2025ASO15189OE C2025297 
OLD       01-057926 O US AL MOUNTAINBORO     34 05 33.77N 086 11 09.58W TOWER              1 00260 01212 D 1 A N 2019ASO05830OE A2020055 
NEW       01-057926 O US AL MOUNTAINBORO     34 05 33.77N 086 11 09.58W TOWER              1 00260 01212 D 1 A N 2025ASO15172OE C2025297 
OLD       01-057939 O US AL ALBERTVILLE      34 22 10.49N 086 07 38.62W TOWER              1 00260 01342 D 1 A N 2018ASO15482OE A2020064 
NEW       01-057939 O US AL ALBERTVILLE      34 22 10.49N 086 07 38.62W TOWER              1 00260 01342 D 1 A N 2025ASO04127OE C2025263 
OLD       01-057948 O US AL BRIERFIELD       33 00 34.01N 086 58 46.62W TOWER              1 00365 00873 D 1 A N 2019ASO07664OE A2020077 
NEW       01-057948 O US AL BRIERFIELD       33 00 34.01N 086 58 46.62W TOWER              1 00365 00873 D 1 A N 2024ASO25114OE C2025263 
OLD       01-058016 O US AL ABBEVILLE        31 32 32.08N 085 14 01.79W TOWER              1 00240 00648 D 1 A N 2019ASO13050OE A2020134 
NEW       01-058016 O US AL ABBEVILLE        31 32 32.08N 085 14 01.79W TOWER              1 00240 00648 D 1 A N 2025ASO15192OE C2025297 
OLD       01-058465 O US AL DAYTON           32 20 34.91N 087 37 46.70W TOWER              1 00299 00531 D 1 A N 2022ASO11039OE C2023191 
NEW       01-058465 O US AL DAYTON           32 20 34.91N 087 37 46.70W TOWER              1 00299 00531 D 1 A N 2025ASO15202OE C2025297 
OLD       01-061286 O US AL FLORENCE         34 54 09.61N 087 50 29.15W TOWER              1 00265 00897 D 1 A N 2019ASO31868OE A2020233 
NEW       01-061286 O US AL FLORENCE         34 54 09.61N 087 50 29.15W TOWER              1 00265 00897 D 1 A N 2025ASO04862OE C2025263 
OLD       01-061457 O US AL HUNTSVILLE       34 40 22.12N 086 45 17.46W POLE               1 00154 00775 N 1 A N 2020ASO27550OE A2020330 
NEW       01-061457 O US AL HUNTSVILLE       34 40 22.12N 086 45 17.46W POLE               1 00154 00775 N 1 A N 2020ASO33071OE C2025263 
OLD       01-063012 U US AL GULF SHORES      30 14 55.70N 087 41 27.63W BLDG               1 00009 00018 N 4 D N 2019ASO10740OE A2021043 
NEW       01-063012 U US AL GULF SHORES      30 14 55.70N 087 41 27.63W BLDG               1 00125 00134 N 4 D N 2022ASO08413OE C2025263 
OLD       01-063041 O US AL MENTONE          34 29 59.12N 085 31 19.20W TOWER              1 00265 01829 D 1 A N 2021ASO07745OE C2021161 
NEW       01-063041 O US AL MENTONE          34 29 59.12N 085 31 19.20W TOWER              1 00265 01829 D 1 A N 2025ASO15290OE C2025297 
OLD       01-063065 O US AL BOAZ             34 14 11.27N 086 07 06.28W TOWER              1 00265 01253 D 1 A N 2020ASO18344OE A2021078 
NEW       01-063065 O US AL BOAZ             34 14 11.27N 086 07 06.28W TOWER              1 00263 01251 D 1 A N 2025ASO10396OE C2025263 
OLD       01-063066 O US AL ALBERTVILLE      34 14 35.41N 086 17 33.52W TOWER              1 00199 01182 N 1 A N 2020ASO28125OE A2021081 
NEW       01-063066 O US AL ALBERTVILLE      34 14 35.41N 086 17 33.52W TOWER              1 00199 01182 N 1 A N 2025ASO03608OE C2025263 
OLD       01-063067 O US AL HAYNEVILLE       32 12 07.11N 086 43 50.12W TOWER              1 00310 00531 D 1 A N 2020ASO08374OE A2021081 
NEW       01-063067 O US AL HAYNEVILLE       32 12 07.11N 086 43 50.12W TOWER              1 00310 00531 D 1 A N 2025ASO08895OE C2025263 
OLD       01-063078 O US AL AUBURN           32 24 05.81N 085 29 36.93W TOWER              1 00275 00689 D 1 A N 2020ASO17506OE A2021090 
NEW       01-063078 O US AL AUBURN           32 24 05.81N 085 29 36.93W TOWER              1 00264 00678 D 1 A N 2025ASO09410OE C2025263 
OLD       01-063271 O US AL OPELIKA          32 23 57.26N 085 24 33.88W TOWER              1 00260 00683 D 1 A N 2020ASO28582OE A2021172 
NEW       01-063271 O US AL OPELIKA          32 23 57.26N 085 24 33.88W TOWER              1 00257 00680 D 1 A N 2025ASO09994OE C2025263 
OLD       01-063463 O US AL OPELIKA          32 28 00.71N 085 27 06.49W TOWER              1 00265 00811 D 1 A N 2020ASO25960OE A2021245 
NEW       01-063463 O US AL OPELIKA          32 28 00.71N 085 27 06.49W TOWER              1 00265 00811 D 1 A N 2025ASO15288OE C2025297 
OLD       01-065253 O US AL ECLECTIC         32 42 06.69N 086 05 26.76W TOWER              1 00333 01038 D 1 A N 2020ASO34259OE A2022069 
NEW       01-065253 O US AL ECLECTIC         32 42 06.69N 086 05 26.76W TOWER              1 00333 01038 D 1 A N 2024ASO25342OE C2025263 
OLD       01-065268 O US AL EUFAULA          32 00 28.73N 085 06 57.42W TOWER              1 00235 00535 D 2 C N 2021ASO38743OE A2022280 
NEW       01-065268 O US AL EUFAULA          32 00 28.73N 085 06 57.42W TOWER              1 00238 00538 D 2 C N 2024ASO21439OE C2025263 
OLD       01-065284 O US AL FLORENCE         34 58 32.75N 087 50 03.20W TOWER              1 00336 01044 D 1 A N 2020ASO34077OE A2022083 
NEW       01-065284 O US AL FLORENCE         34 58 32.75N 087 50 03.20W TOWER              1 00336 01044 D 1 A N 2024ASO24890OE C2025263 
OLD       01-065311 O US AL WING             31 01 57.89N 086 36 35.98W TOWER              1 00360 00639 D 1 A N 2021ASO24998OE A2022140 
NEW       01-065311 O US AL WING             31 01 57.89N 086 36 35.98W TOWER              1 00358 00637 D 1 A N 2025ASO10397OE C2025263 
OLD       01-065362 O US AL LANETT           32 56 14.89N 085 14 17.15W TOWER              1 00333 01034 D 1 A N 2021ASO08309OE A2022234 
NEW       01-065362 O US AL LANETT           32 56 14.89N 085 14 17.15W TOWER              1 00333 01034 D 1 A N 2024ASO24805OE C2025263 
OLD       01-065466 O US AL ATHENS           34 43 55.47N 087 07 10.08W TOWER              1 00315 00955 D 4 D N 2022ASO06915OE A2022356 
NEW       01-065466 O US AL ATHENS           34 43 55.47N 087 07 10.08W TOWER              1 00315 00955 D 4 D N 2025ASO03062OE C2025263 
OLD       01-067186 O US AL CULLMAN          34 11 44.59N 086 55 06.21W TOWER              1 00355 01306 D 1 A N 2021ASO36839OE A2023005 
NEW       01-067186 O US AL CULLMAN          34 11 44.59N 086 55 06.21W TOWER              1 00348 01299 D 1 A N 2025ASO10138OE C2025263 
ADD       01-067385 U US AL COTTONTON        32 18 51.45N 085 01 02.16W T-L TWR            1 00050 00281 N 4 D N 2021ASO28068OE A2025262 
ADD       01-069814 U US AL CALERA           33 10 06.93N 086 46 37.64W SIGN               1 00021 00617 N 4 D N 2021ASO38609OE A2025263 
OLD       01-071191 O US AL ROANOKE          33 12 03.76N 085 18 59.56W TOWER              1 00264 01166 D 4 D N 2023ASO04473OE A2024008 
NEW       01-071191 O US AL ROANOKE          33 12 03.76N 085 18 59.56W TOWER              1 00264 01166 D 4 D N 2023ASO08017OE C2025262 
OLD       01-071235 O US AL CITRONELLE       31 10 33.10N 088 16 25.80W TOWER              1 00300 00481 D 1 A N 2022ASO37497OE A2024044 
NEW       01-071235 O US AL CITRONELLE       31 10 33.10N 088 16 25.80W TOWER              1 00305 00486 D 1 A N 2025ASO12007OE C2025290 
ADD       01-071296 U US AL BIRMINGHAM       33 32 51.30N 086 48 38.32W TOWER              1 00070 00636 N 4 D N 2022ASO14377OE A2025263 
OLD       01-074904 O US AL CLANTON          32 49 06.95N 086 37 01.68W TOWER              1 00198 00818 D 4 D N 2023ASO27414OE C2025063 
NEW       01-074904 O US AL CLANTON          32 49 06.95N 086 37 01.68W TOWER              1 00198 00818 D 4 D N 2024ASO23463OE C2025263 
OLD       01-074954 O US AL CHUNCHULA        30 56 41.18N 088 07 40.96W TOWER              1 00255 00526 D 1 A N 2024ASO11010OE A2025049 
NEW       01-074954 O US AL CHUNCHULA        30 56 41.18N 088 07 40.96W TOWER              1 00259 00530 D 1 A N 2024ASO23600OE C2025262 
ADD       01-074977 O US AL EUFAULA          31 56 56.45N 085 06 36.11W TOWER              1 00200 00426 N 2 C N 2024ASO22468OE A2025263 
ADD       01-074981 O US AL ALABASTER        33 13 07.50N 086 50 59.00W TOWER              1 00255 00913 M 4 D N 2023ASO28654OE A2025263 
ADD       01-074985 O US AL SUMMERDALE       30 30 15.77N 087 34 52.78W TOWER              1 00260 00311 D 1 A N 2024ASO09696OE A2025263 
ADD       01-074988 O US AL IRONDALE         33 33 45.19N 086 40 58.80W POLE               1 00060 00811 N 1 A N 2024ASO09445OE A2025263 
ADD       01-074989 U US AL LOCKHART         31 00 42.98N 086 20 51.59W TANK               1 00151 00444 N 4 D N 2024ASO22962OE A2025263 
ADD       01-074990 U US AL BAY MINETTE      30 52 45.50N 087 46 31.95W TANK               1 00138 00409 N 4 D N 2024ASO25318OE A2025263 
ADD       01-074994 U US AL MADISON          34 40 15.38N 086 46 54.72W BLDG               1 00050 00705 N 4 D N 2025ASO01699OE A2025263 
ADD       01-075952 U US AL CALERA           33 10 00.21N 086 47 41.19W TANK               1 00134 00793 D 4 D N 2023ASO05103OE A2025263 
ADD       01-075954 O US AL HEADLAND         31 29 31.29N 085 17 05.23W TOWER              1 00270 00673 D 4 D N 2022ASO15214OE A2025263 
ADD       01-075958 U US AL KIMBERLY         33 47 13.29N 086 46 11.32W TOWER              1 00265 00834 N 1 A N 2025ASO03636OE A2025263 
ADD       01-075962 O US AL SELMA            32 23 05.02N 086 48 05.89W TOWER              1 00265 00440 D 1 A N 2024ASO05223OE A2025264 
ADD       01-075965 U US AL GREENSBORO       32 41 47.48N 087 36 01.48W TOWER              1 00199 00466 D 4 D N 2024ASO18367OE A2025263 
ADD       01-075966 O US AL EVERGREEN        31 43 01.50N 087 03 08.82W TOWER              1 00311 00874 D 1 A N 2024ASO12639OE A2025263 
ADD       01-075969 O US AL SCOTTSBORO       34 47 11.89N 086 06 36.21W TOWER              1 00300 01840 D 1 A N 2024ASO15101OE A2025263 
ADD       01-075972 U US AL TUSCALOOSA       33 12 14.08N 087 36 21.12W T-L TWR            1 00116 00256 N 4 D N 2023ASO28789OE A2025263 
ADD       01-075973 O US AL HAYNEVILLE       32 15 17.03N 086 43 41.62W TOWER              1 00264 00467 D 1 A N 2025ASO02731OE A2025263 
ADD       01-075974 O US AL WADLEY           33 04 27.12N 085 30 53.64W TOWER              1 00260 01008 D 1 A N 2021ASO11862OE A2025262 
ADD       01-075975 O US AL NEWVILLE         31 32 50.67N 085 25 43.53W TOWER              1 00260 00728 D 1 A N 2024ASO16921OE A2025263 
ADD       01-075977 O US AL ROBERTSDALE      30 37 19.09N 087 40 33.03W TOWER              1 00290 00461 D 1 A N 2024ASO09121OE A2025263 
ADD       01-075984 O US AL FAIRHOPE         30 30 02.99N 087 54 37.36W TOWER              1 00211 00318 D 4 D N 2025ASO06049OE A2025262 
ADD       01-075988 O US AL IDER             34 44 00.97N 085 41 32.74W TOWER              1 00265 01759 D 1 A N 2021ASO33655OE A2025263 
ADD       01-075991 O US AL OPELIKA          32 34 37.92N 085 19 05.88W TOWER              1 00270 00950 D 4 D N 2022ASO15177OE A2025263 
ADD       01-075996 O US AL EUFAULA          31 55 18.47N 085 08 58.95W TOWER              1 00330 00624 D 1 A N 2022ASO46655OE A2025263 
ADD       01-075998 U US AL RUSSELLVILLE     34 28 57.70N 087 57 16.40W TOWER              1 00310 01107 H 4 D N 2024ASO14555OE A2025263 
ADD       01-075999 O US AL PISGAH           34 42 14.49N 085 46 26.84W TOWER              1 00265 01726 D 1 A N 2024ASO16255OE A2025262 
ADD       01-076001 O US AL KILLEN           34 51 23.94N 087 32 37.57W TOWER              1 00320 00943 D 1 A N 2022ASO31374OE A2025263 
ADD       01-076002 O US AL LEIGHTON         34 38 52.81N 087 31 15.71W TOWER              1 00340 00925 D 4 D N 2025ASO07038OE A2025263 
